iter	Passed	Remaining
0	111	33253
1	237	35355
2	333	32982
3	431	31956
4	587	34656
5	720	35308
6	855	35818
7	1020	37238
8	1188	38424
9	1319	38251
10	1464	38485
11	1583	37997
12	1684	37191
13	1795	36672
14	1905	36205
15	2020	35857
16	2121	35319
17	2225	34859
18	2354	34817
19	2459	34431
20	2557	33980
21	2651	33504
22	2758	33216
23	2863	32935
24	3011	33131
25	3159	33296
26	3263	32997
27	3366	32700
28	3452	32259
29	3526	31740
30	3605	31285
31	3682	30844
32	3762	30443
33	3839	30041
34	3926	29726
35	4018	29465
36	4091	29081
37	4168	28744
38	4242	28391
39	4319	28078
40	4405	27828
41	4519	27763
42	4649	27788
43	4747	27619
44	4852	27495
45	4958	27380
46	5059	27233
47	5155	27064
48	5256	26927
49	5469	27348
50	5655	27611
51	5817	27744
52	5963	27790
53	6111	27840
54	6251	27848
55	6384	27818
56	6536	27864
57	6664	27806
58	6798	27769
59	6948	27793
60	7083	27753
61	7223	27730
62	7394	27817
63	7556	27864
64	7699	27836
65	7936	28140
66	8152	28352
67	8363	28535
68	8505	28475
69	8651	28427
70	8811	28418
71	8955	28360
72	9103	28307
73	9275	28327
74	9436	28309
75	9571	28210
76	9719	28149
77	9865	28077
78	10114	28295
79	10399	28599
80	10749	29063
81	11142	29623
82	11800	30850
83	12149	31241
84	12503	31626
85	12898	32097
86	13234	32401
87	13628	32832
88	14057	33327
89	14423	33655
90	14776	33937
91	15209	34385
92	15570	34657
93	15856	34749
94	16262	35092
95	16570	35212
96	16941	35455
97	17206	35466
98	17565	35662
99	17836	35672
100	18164	35790
101	18511	35934
102	18818	35992
103	19259	36297
104	19608	36416
105	19958	36526
106	20341	36690
107	20727	36849
108	21102	36977
109	21446	37044
110	21955	37384
111	22474	37725
112	22865	37839
113	23276	37977
114	23697	38122
115	24049	38147
116	24592	38464
117	24956	38492
118	25219	38358
119	25481	38222
120	25612	37888
121	25768	37596
122	25884	37249
123	26023	36937
124	26139	36595
125	26260	36263
126	26371	35923
127	26502	35613
128	26619	35286
129	26743	34972
130	26853	34643
131	26980	34339
132	27103	34032
133	27218	33718
134	27332	33406
135	27450	33102
136	27583	32818
137	27704	32522
138	27873	32284
139	28015	32017
140	28129	31720
141	28256	31440
142	28394	31174
143	28529	30907
144	28659	30635
145	28806	30385
146	28936	30117
147	29058	29844
148	29191	29582
149	29344	29344
150	29476	29086
151	29618	28839
152	29742	28575
153	29856	28305
154	29982	28048
155	30138	27819
156	30289	27588
157	30413	27333
158	30551	27092
159	30665	26832
160	30756	26553
161	30860	26288
162	30970	26030
163	31075	25769
164	31175	25507
165	31274	25245
166	31367	24981
167	31457	24716
168	31549	24455
169	31644	24198
170	31753	23954
171	31862	23711
172	31973	23471
173	32083	23233
174	32191	22993
175	32311	22764
176	32418	22527
177	32544	22305
178	32699	22103
179	32826	21884
180	32944	21659
181	33051	21429
182	33156	21198
183	33268	20973
184	33379	20749
185	33490	20526
186	33614	20312
187	33733	20096
188	33863	19888
189	33992	19679
190	34119	19471
191	34268	19276
192	34398	19070
193	34517	18860
194	34655	18660
195	34795	18462
196	34947	18272
197	35138	18101
198	35280	17905
199	35416	17708
200	35551	17510
201	35686	17313
202	35814	17113
203	35927	16907
204	36037	16700
205	36147	16494
206	36261	16291
207	36370	16086
208	36484	15885
209	36598	15685
210	36752	15502
211	36939	15333
212	37078	15144
213	37204	14951
214	37358	14769
215	37590	14618
216	37742	14436
217	37878	14247
218	38011	14059
219	38141	13869
220	38252	13673
221	38363	13478
222	38472	13284
223	38578	13089
224	38699	12899
225	38848	12720
226	38967	12531
227	39092	12345
228	39211	12157
229	39332	11970
230	39452	11784
231	39564	11596
232	39677	11409
233	39798	11225
234	39986	11060
235	40140	10885
236	40280	10707
237	40403	10525
238	40529	10344
239	40668	10167
240	40800	9988
241	40917	9806
242	41022	9622
243	41124	9438
244	41243	9258
245	41349	9076
246	41457	8895
247	41576	8717
248	41699	8540
249	41816	8363
250	41931	8185
251	42058	8011
252	42201	7839
253	42441	7686
254	42661	7528
255	42799	7356
256	42915	7180
257	43032	7005
258	43159	6832
259	43269	6656
260	43371	6480
261	43462	6303
262	43553	6127
263	43643	5951
264	43767	5780
265	43883	5609
266	44011	5439
267	44129	5269
268	44255	5100
269	44374	4930
270	44492	4761
271	44642	4595
272	44751	4425
273	44919	4262
274	45048	4095
275	45187	3929
276	45309	3762
277	45443	3596
278	45566	3429
279	45691	3263
280	45839	3099
281	45967	2934
282	46087	2768
283	46209	2603
284	46327	2438
285	46442	2273
286	46563	2109
287	46682	1945
288	46808	1781
289	46932	1618
290	47071	1455
291	47189	1292
292	47338	1130
293	47469	968
294	47595	806
295	47701	644
296	47808	482
297	47919	321
298	48041	160
299	48147	0
